nodeID_from,nodeID_to,year,line,weight
52,110,1913,unknown,1
23,103,1925,Line4,1
23,132,1925,Line4,1
34,70,1925,Line4,1
34,72,1925,Line4,1
35,72,1925,Line4,1
35,90,1925,Line4,1
69,78,1925,Line4,1
69,94,1925,Line4,1
70,131,1925,Line4,1
78,89,1925,Line4,1
82,84,1925,Line4,1
82,133,1925,Line4,1
84,132,1925,Line4,1
89,139,1925,Line4,1
90,98,1925,Line2,1
92,131,1925,Line4,1
92,133,1925,Line4,1
94,117,1925,Line4,1
98,121,1925,Line4,1
103,126,1925,Line4,1
117,121,1925,Line4,1
34,49,1926,Line4,1
49,70,1926,Line4,1
5,52,1927,unknown,1
5,110,1927,Line8,1
10,28,1927,unknown,1
10,63,1927,unknown,1
15,28,1927,unknown,1
15,73,1927,unknown,1
26,34,1927,unknown,1
26,72,1927,unknown,1
38,119,1927,unknown,1
44,52,1927,unknown,1
44,98,1927,unknown,1
44,121,1927,unknown,1
55,57,1927,unknown,1
55,130,1927,unknown,1
57,75,1927,unknown,1
63,130,1927,unknown,1
73,97,1927,unknown,1
75,136,1927,unknown,1
97,119,1927,unknown,1
126,136,1927,unknown,1
3,79,1930,Line1,1
3,130,1930,Line1,1
5,12,1930,Line1,1
5,100,1930,Line1,1
11,106,1930,Line1,1
11,127,1930,Line1,1
21,47,1930,Line1,1
21,100,1930,Line1,1
26,128,1930,Line1,1
26,130,1930,Line1,1
29,51,1930,Line1,1
29,86,1930,Line1,1
34,54,1930,unknown,1
44,61,1930,Line1,1
44,102,1930,Line1,1
46,105,1930,Line1,1
46,108,1930,Line1,1
47,124,1930,Line1,1
48,106,1930,Line1,1
51,79,1930,Line1,1
54,111,1930,unknown,1
61,95,1930,Line1,1
80,95,1930,Line1,1
80,107,1930,Line1,1
86,105,1930,Line1,1
102,129,1930,Line1,1
107,124,1930,Line1,1
108,123,1930,Line1,1
111,118,1930,Line6,1
123,127,1930,Line1,1
128,129,1930,Line1,1
66,71,1953,Line6,1
66,111,1953,Line6,1
71,118,1953,Line6,1
6,39,1955,Line7,1
39,88,1955,Line7,1
54,96,1955,Line7,1
66,85,1955,Line6,1
85,111,1955,Line6,1
88,96,1955,Line7,1
8,30,1960,Line5,1
8,95,1960,Line5,1
17,105,1960,Line5,1
17,115,1960,Line5,1
18,22,1960,Line5,1
18,112,1960,Line5,1
22,99,1960,Line5,1
29,104,1960,unknown,1
30,42,1960,Line5,1
31,77,1960,Line5,1
31,105,1960,Line5,1
32,50,1960,Line5,1
34,59,1960,unknown,1
34,134,1960,unknown,1
36,37,1960,Line5,1
36,58,1960,Line5,1
37,133,1960,Line5,1
41,59,1960,Line5,1
41,117,1960,Line5,1
42,99,1960,Line5,1
50,112,1960,Line5,1
55,134,1960,unknown,1
57,77,1960,unknown,1
57,134,1960,unknown,1
58,137,1960,Line5,1
75,77,1960,unknown,1
77,138,1960,Line5,1
90,128,1960,Line2,1
95,117,1960,Line5,1
104,115,1960,Line5,1
104,128,1960,Line2,1
104,134,1960,Line5,1
137,138,1960,Line5,1
57,64,1974,unknown,1
64,134,1974,unknown,1
1,57,1975,unknown,1
1,64,1975,unknown,1
101,118,1977,Line6,1
14,38,1983,unknown,1
2,5,1986,Line8,1
2,33,1986,Line8,1
5,113,1986,Line8,1
33,110,1986,Line8,1
52,113,1986,unknown,1
44,62,1988,Line8,1
52,62,1988,unknown,1
12,60,1990,unknown,1
4,116,1996,Line2,1
4,135,1996,Line2,1
7,29,1996,unknown,1
7,67,1996,Line2,1
9,93,1996,Line2,1
14,67,1996,unknown,1
26,91,1996,unknown,1
29,40,1996,unknown,1
34,91,1996,unknown,1
40,104,1996,Line2,1
53,93,1996,Line2,1
53,116,1996,Line2,1
55,91,1996,unknown,1
67,135,1996,Line2,1
83,104,1996,Line2,1
83,122,1996,Line2,1
90,109,1996,Line2,1
91,122,1996,Line2,1
91,128,1996,Line2,1
91,130,1996,unknown,1
109,128,1996,Line2,1
7,114,1998,Line2,1
44,76,1998,Line8,1
62,76,1998,Line8,1
67,114,1998,Line2,1
81,110,2001,Line8,1
19,27,2008,Line11,1
25,125,2008,Line11,1
25,126,2008,Line11,1
27,125,2008,Line11,1
45,52,2008,unknown,1
45,62,2008,Line8,1
16,20,2010,Line9,1
16,87,2010,Line9,1
20,48,2010,unknown,1
24,120,2010,Line9,1
30,124,2010,unknown,1
30,139,2010,unknown,1
39,70,2010,unknown,1
39,118,2010,unknown,1
43,48,2010,unknown,1
43,120,2010,Line9,1
45,124,2010,unknown,1
56,70,2010,Line9,1
56,77,2010,Line9,1
65,77,2010,Line10,1
65,105,2010,Line10,1
87,105,2010,Line10,1
118,139,2010,Line10,1
