nodeID,nodeLabel,latitude,longitude,year
1,AlfonsX,41.411667,2.165278,1974
2,Almeda,41.3531079,2.0853534,1985
3,ArcdeTriomf,41.391389,2.179722,1926
4,Artigues-SantAdria,41.433,2.217,1995
5,AvingudaCarrilet,41.358,2.103,1926
6,AvingudaTibidabo,41.405833,2.138611,1954
7,BacdeRoda,41.413611,2.193889,1995
8,Badal,41.376,2.129,1959
9,BadalonaCentre,41.451667,2.251389,1995
10,Barceloneta,41.3824734,2.1856404,unknown
11,BarodeViver,41.448333,2.200278,1926
12,Bellvitge,41.351389,2.111944,1926
13,Besos,41.420161,2.209283,2010
14,BesosMar,41.414722,2.216667,1982
15,Bogatell,41.3949555,2.1913117,unknown
16,BonPastor,41.436147,2.205226,2009
17,Campdel'Arpa,41.415,2.181111,1959
18,CanBoixeres,41.366342,2.090686,1959
19,CanCuias,41.4632,2.17181,2007
20,CanPeixauet,41.444444,2.209722,2009
21,CanSerra,41.367222,2.103056,1926
22,CanVidalet,41.371111,2.099444,1959
23,Canyelles,41.442778,2.167778,1924
24,CanZam,41.4575,2.198056,2009
25,Casadel'Aigua,41.452778,2.186111,2007
26,Catalunya,41.386944,2.17,1926
27,CiutatMeridiana,41.4609,2.1744,2007
28,Ciutadella-VilaOlimpica,41.3880115,2.1934722,unknown
29,Clot,41.408611,2.186667,1926
30,Collblanc,41.375556,2.120556,1959
31,Congres,41.423333,2.180556,1959
32,CornellaCentre,41.358,2.071,1959
33,Cornella-Riera,41.351389,2.070556,1985
34,DiagonalProvenca,41.394722,2.159722,1924
35,Drassanes,41.377,2.176,1924
36,ElCarmel,41.424722,2.155278,1959
37,ElCollLaTeixonera,41.420278,2.149722,1959
38,ElMaresme-Forum,41.4119199,2.2175563,unknown
39,ElPutxet,41.405833,2.139167,1953
40,Encants,41.406859,2.1824183,1995
41,Entenca,41.384,2.145,1959
42,ErnestLluch,41.376533,2.111914,1959
43,EsglesiaMajor,41.454167,2.212222,2009
44,Espanya,41.374722,2.149167,1926
45,Europa-Fira,41.356978,2.124908,2007
46,FabraiPuig,41.431,2.183,1926
47,Florida,41.367778,2.111944,1926
48,Fondo,41.451667,2.218333,1926
49,Fontana,41.4025,2.1525,1925
50,Gavarra,41.356944,2.079444,1959
51,Glories,41.403333,2.186944,1926
52,Gornal,41.3607857,2.1191547,unknown
53,Gorg,41.440461,2.233833,1995
54,Gracia,41.399556,2.152167,1929
55,Girona,41.3943963,2.1703879,unknown
56,Guinardo,41.416042,2.174364,2009
57,Guinardo-HospitaldeSantPau,41.416042,2.174364,unknown
58,Horta,41.429444,2.161944,1959
59,HospitalClinic,41.387778,2.150278,1959
60,HospitaldeBellvitge,41.343333,2.105278,1989
61,Hostafrancs,41.375278,2.143611,1926
62,IldefonsCerda,41.3608,2.13028,1987
63,JaumeI,41.383611,2.178611,1926
64,Joanic,41.405556,2.163056,1973
65,LaSagrera,41.4225,2.186944,2009
66,LaBonanova,41.3976666,2.1361493,1952
67,LaPau,41.4232473,2.2059534,1995
68,LaSalut,41.4432553,2.2245523,2010
69,LesCorts,41.3842669,2.1313420,1924
70,Lesseps,41.4066258,2.1498893,1924
71,LesTresTorres,41.397842,2.1309,1952
72,Liceu,41.3812172,2.1732213,1924
73,Llacuna,41.3990906,2.1970859,unknown
74,Llefia,41.441311,2.217503,2010
75,Llucmajor,41.4372495,2.1732500,unknown
76,Magoria-LaCampana,41.3675,2.139444,1997
77,Maragall,41.4240999,2.1778686,1959
78,MariaCristina,41.3879510,2.1264477,1924
79,Marina,41.394444,2.186667,1926
80,MercatNou,41.373333,2.133889,1926
81,MoliNou-CiutatCooperativa,41.3575065,2.0353131,2000
82,Montbau,41.4300463,2.1448117,1924
83,Monumental,41.4002363,2.1800119,1995
84,Mundet,41.4352471,2.1492222,1924
85,Muntaner,41.3986303,2.1428632,1954
86,Navas,41.415556,2.186944,1926
87,OnzedeSetembre,41.4296460,2.1930525,2009
88,Padua,41.4033258,2.1430586,1953
89,PalauReial,41.3860870,2.1186695,1924
90,Parallel,41.3749806,2.1682187,1924
91,PasseigdeGracia,41.39,2.167778,1995
92,Penitents,41.4175081,2.1409821,1924
93,PepVentura,41.4442315,2.2381800,1995
94,PlacadelCentre,41.3820112,2.1361939,1924
95,PlacadeSants,41.375278,2.136389,1926
96,PlacaMolina,41.4013236,2.1474274,1954
97,Poblenou,41.4032281,2.2026098,unknown
98,PobleSec,41.3749930,2.1605117,1924
99,PubillaCases,41.3730575,2.1061430,1959
100,RamblaJustOliveras,41.3633,2.1,1926
101,ReinaElisenda,41.3987655,2.1180732,1976
102,Rocafort,41.378889,2.154444,1926
103,Roquetes,41.4473182,2.1757584,1924
104,SagradaFamilia,41.4043724,2.1747257,1959
105,Sagrera,41.4223244,2.1873159,1926
106,SantaColoma,41.4510042,2.2081678,1926
107,SantaEulalia,41.3686,2.1275,1926
108,SantAndreu,41.4357316,2.1913321,1926
109,SantAntoni,41.3790991,2.1632566,1995
110,SantBoi,41.3483589,2.0432341,1912
111,SantGervasi,41.4009674,2.1471976,1929
112,SantIldefons,41.3632586,2.0835869,1959
113,SantJosep,41.3609109,2.1107113,1985
114,SantMarti,41.4175,2.198333,1997
115,SantPau-DosdeMaig,41.4111247,2.1759585,1959
116,SantRoc,41.4351931,2.2280478,1995
117,SantsEstacio,41.3788741,2.1397178,1924
118,Sarria,41.3984539,2.1252884,1929
119,SelvadeMar,41.4083198,2.2095906,unknown
120,Singuerlin,41.4599481,2.2056038,2009
121,Tarragona,41.3784554,2.1454021,1924
122,Tetuan,41.3948906,2.1756773,1995
123,TorrasiBages,41.4423830,2.1908985,1926
124,Torrassa,41.368611,2.116111,1926
125,TorreBaro-Vallbona,41.4590213,2.1798934,2007
126,TrinitatNova,41.4488978,2.1825782,1924
127,TrinitatVella,41.4492121,2.1933675,1926
128,Universitat,41.385278,2.163611,1926
129,Urgell,41.382222,2.158889,1926
130,Urquinaona,41.389167,2.173333,1926
131,Vallcarca,41.4116380,2.1452035,1924
132,Valldaura,41.4380738,2.1566879,1924
133,Valld'Hebron,41.4247367,2.1429799,1924
134,Verdaguer,41.3997990,2.1682979,1959
135,Verneda,41.4300128,2.2099884,1995
136,ViaJulia,41.4436933,2.1786248,unknown
137,Vilapicina,41.4302573,2.1681827,1959
138,VirreiAmat,41.4301560,2.1747153,1959
139,ZonaUniversitaria,41.3843518,2.1119170,1924
