nodeID_from,nodeID_to,year,line,weight
5,7,1972,Line1,1
5,158,1972,Line1,1
7,48,1972,Line1,1
10,22,1972,Line2,1
10,66,1972,unknown,1
19,39,1972,unknown,1
19,150,1972,Line2,1
22,98,1972,Line2,1
29,50,1972,Line1,1
29,110,1972,Line1,1
32,66,1972,Line1,1
32,130,1972,Line1,1
39,66,1972,Line1,1
39,89,1972,Line1,1
39,140,1972,Line1,1
45,86,1972,Line1,1
45,133,1972,Line1,1
48,96,1972,Line1,1
50,155,1972,Line1,1
54,98,1972,Line2,1
54,150,1972,Line2,1
66,155,1972,Line1,1
86,88,1972,Line1,1
88,89,1972,Line1,1
119,120,1972,Line1,1
119,130,1972,Line1,1
120,140,1972,Line1,1
133,137,1972,Line1,1
137,158,1972,Line1,1
2,35,1985,Line2,1
2,49,1985,Line2,1
20,34,1985,Line2,1
20,66,1985,unknown,1
21,38,1985,Line2,1
21,149,1985,Line2,1
34,35,1985,Line2,1
38,39,1985,unknown,1
49,71,1985,Line2,1
71,149,1985,Line2,1
30,149,2003,Line13,1
30,162,2003,Line13,1
35,64,2003,unknown,1
60,64,2003,Line13,1
60,83,2003,Line13,1
83,141,2003,Line13,1
106,141,2003,Line13,1
106,162,2003,Line13,1
8,47,2004,Batong,1
8,127,2004,Batong,1
15,64,2004,Line13,1
15,132,2004,Line13,1
26,40,2004,Batong,1
26,109,2004,Batong,1
35,80,2004,unknown,1
40,111,2004,unknown,1
46,80,2004,Line13,1
46,107,2004,Line13,1
47,109,2004,Batong,1
51,73,2004,Batong,1
51,127,2004,Batong,1
73,82,2004,Batong,1
77,82,2004,Batong,1
77,129,2004,Batong,1
107,132,2004,Line13,1
110,111,2004,Line1,1
2,156,2008,unknown,1
14,156,2008,Line5,1
14,160,2008,Line5,1
15,78,2008,unknown,1
16,28,2008,Line5,1
16,79,2008,Line5,1
22,23,2008,Line5,1
22,32,2008,unknown,1
23,122,2008,Line5,1
28,61,2008,Line5,1
31,32,2008,unknown,1
31,33,2008,Line5,1
33,160,2008,Line5,1
35,156,2008,unknown,1
53,55,2008,Line5,1
53,156,2008,Line5,1
55,62,2008,Line5,1
61,62,2008,Line5,1
64,78,2008,unknown,1
78,79,2008,Line5,1
78,125,2008,Line5,1
81,97,2008,Line5,1
81,112,2008,Line5,1
97,122,2008,Line5,1
123,124,2008,Line5,1
123,125,2008,Line5,1
1,74,2009,Line10,1
1,128,2009,Line10,1
4,13,2009,Line10,1
4,62,2009,Line10,1
6,114,2009,Line10,1
13,65,2009,Line10,1
13,94,2009,Line8,1
35,103,2009,unknown,1
37,93,2009,Line8,1
50,70,2009,unknown,1
50,108,2009,unknown,1
62,107,2009,Line10,1
63,70,2009,Line10,1
63,128,2009,Line10,1
65,87,2009,Line10,1
69,108,2009,Line10,1
74,103,2009,Line10,1
87,147,2009,Line10,1
93,94,2009,Line8,1
103,115,2009,Line10,1
103,117,2009,Airport,1
103,118,2009,Airport,1
107,115,2009,Line10,1
114,161,2009,Line10,1
117,118,2009,Airport,1
147,162,2009,Line10,1
161,162,2009,Line10,1
3,9,2010,Line4,1
9,148,2010,Line4,1
11,84,2010,Line4,1
11,116,2010,Line4,1
12,91,2010,Line4,1
12,149,2010,Line4,1
18,116,2010,Line4,1
18,150,2010,Line4,1
36,157,2010,Line4,1
36,163,2010,Line4,1
44,67,2010,Line4,1
52,100,2010,Line4,1
52,114,2010,unknown,1
52,161,2010,unknown,1
52,163,2010,Line4,1
67,84,2010,Line4,1
76,140,2010,unknown,1
76,146,2010,Line4,1
91,135,2010,Line4,1
95,144,2010,Line4,1
95,146,2010,Line4,1
100,135,2010,Line4,1
106,136,2010,Line13,1
136,162,2010,Line13,1
140,150,2010,unknown,1
144,149,2010,Line4,1
148,157,2010,Line4,1
