nodeID_from,nodeID_to,year,line,weight
23,99,1903,u2,1
23,114,1903,u2,1
32,172,1903,u2,1
44,75,1903,u1,1
44,134,1903,u1,1
48,91,1903,u1,1
48,115,1903,u1,1
75,115,1903,u1,1
91,167,1903,u1,1
99,167,1903,neueu3,1
134,159,1903,u1,1
167,172,1903,u2,1
28,32,1907,u2,1
28,142,1909,u2,1
52,144,1909,u2,1
52,145,1909,u2,1
66,142,1909,u2,1
66,149,1909,u2,1
92,114,1909,u2,1
92,145,1909,u2,1
10,118,1911,u4,1
10,155,1911,u4,1
61,118,1911,u4,1
99,155,1911,u4,1
42,91,1913,u1,1
42,167,1913,u1,1
3,72,1914,u2,1
3,126,1914,u2,1
20,113,1914,alteu3,1
20,128,1914,alteu3,1
27,113,1914,alteu3,1
27,150,1914,alteu3,1
29,136,1914,u2,1
29,140,1914,u2,1
33,53,1914,alteu3,1
33,59,1914,alteu3,1
53,128,1914,alteu3,1
59,167,1914,alteu3,1
72,87,1914,u2,1
87,144,1914,u2,1
100,149,1914,u2,1
126,140,1914,u2,1
153,167,1914,u1,1
96,100,1923,u2,1
96,149,1923,u2,1
37,39,1924,u6,1
37,145,1924,u6,1
39,102,1924,u6,1
48,73,1924,u6,1
73,145,1924,u6,1
81,139,1924,u6,1
81,161,1924,u6,1
94,102,1924,u6,1
94,138,1924,u6,1
122,138,1924,u6,1
122,161,1924,u6,1
43,88,1925,u7,1
43,147,1925,u7,1
48,88,1925,u6,1
88,124,1925,u7,1
42,78,1927,u1,1
56,116,1927,u7,1
56,147,1927,u7,1
69,116,1927,u7,1
78,99,1927,u1,1
88,112,1927,u6,1
18,56,1928,u8,1
56,137,1928,u8,1
109,112,1928,u6,1
54,93,1929,u8,1
75,93,1929,u8,1
75,137,1929,u8,1
18,80,1930,u8,1
100,130,1930,u2,1
109,148,1930,u6,1
3,63,1931,u8,1
3,133,1931,u5,1
3,162,1931,u8,1
12,127,1931,u8,1
12,157,1931,u8,1
34,86,1931,u5,1
34,131,1931,u5,1
35,131,1931,u5,1
35,160,1931,u5,1
38,82,1931,u5,1
41,157,1931,u8,1
45,98,1931,u7,1
54,63,1931,u8,1
69,98,1931,u7,1
82,86,1931,u5,1
127,162,1931,u8,1
133,146,1931,u5,1
136,156,1931,u2,1
146,160,1931,u5,1
2,79,1957,u6,1
2,121,1957,u6,1
121,139,1957,u6,1
5,19,1959,u6,1
19,60,1959,u6,1
60,105,1959,u6,1
79,132,1959,u6,1
105,132,1959,u6,1
59,143,1960,alteu3,1
143,167,1960,alteu3,1
8,81,1962,u9,1
8,163,1962,u9,1
9,143,1962,alteu3,1
9,167,1962,alteu3,1
11,143,1962,u9,1
14,152,1962,u9,1
14,163,1962,u9,1
23,42,1962,u2,1
42,114,1962,u2,1
49,152,1962,u9,1
49,172,1962,u9,1
77,143,1962,u9,1
77,153,1962,u1,1
77,167,1962,u1,1
77,172,1962,u9,1
16,45,1964,u7,1
16,110,1964,u7,1
22,110,1964,u7,1
4,164,1967,u6,1
6,67,1967,u6,1
6,148,1967,u6,1
67,154,1967,u6,1
88,91,1967,u7,1
91,124,1967,u7,1
154,164,1967,u6,1
22,64,1971,u7,1
64,84,1971,u7,1
84,169,1971,u7,1
169,173,1971,u7,1
10,11,1972,u7,1
10,30,1972,u7,1
11,17,1972,u7,1
11,25,1972,u9,1
11,46,1972,u9,1
17,33,1972,u7,1
25,40,1972,u9,1
30,71,1972,u7,1
33,124,1972,u7,1
40,158,1972,u9,1
46,143,1972,u9,1
71,170,1972,u7,1
91,170,1972,u7,1
129,173,1973,u7,1
38,151,1974,u5,1
120,135,1975,u9,1
135,158,1975,u9,1
41,104,1977,u8,1
81,95,1977,u9,1
95,104,1977,u9,1
41,107,1978,u8,1
104,107,1978,u8,1
1,74,1979,u7,1
1,165,1979,u7,1
15,28,1979,u2,1
15,142,1979,u2,1
33,74,1979,u7,1
124,165,1979,u7,1
47,62,1981,u7,1
47,141,1981,u7,1
62,65,1981,u7,1
65,90,1981,u7,1
90,124,1981,u7,1
125,141,1981,u7,1
7,119,1985,u7,1
7,171,1985,u7,1
15,124,1985,u7,1
15,165,1985,u7,1
50,111,1985,u7,1
50,171,1985,u7,1
111,125,1985,u7,1
36,104,1988,u8,1
36,123,1988,u8,1
108,123,1988,u8,1
13,31,1989,u5,1
13,151,1989,u5,1
26,55,1990,u5,1
26,97,1990,u5,1
31,168,1990,u5,1
55,85,1990,u5,1
58,85,1990,u5,1
70,97,1990,u5,1
70,168,1990,u5,1
68,83,1995,u8,1
68,117,1995,u8,1
83,108,1995,u8,1
117,166,1995,u8,1
57,80,1997,u8,1
42,89,1999,u2,1
89,114,1999,u2,1
106,156,2001,u2,1
76,101,2005,neueu3,1
101,103,2005,neueu3,1
103,150,2005,neueu3,1
21,24,2010,u55,1
24,51,2010,u55,1
