nodeID,nodeLabel,latitude,longitude,year
1,Adenauerplatz,52.5,13.307222,1978
2,AfrikanischeStrasse,52.560278,13.334722,1956
3,Alexanderplatz,52.521389,13.411944,1913
4,Alt-Mariendorf,52.439722,13.3875,1966
5,Alt-Tegel,52.589444,13.283611,1958
6,Alt-Tempelhof,52.465833,13.385556,1966
7,AltstadtSpandau,52.538889,13.206389,1984
8,AmrumerStrasse,52.5425,13.350278,1961
9,AugsburgerStrasse,52.500556,13.336667,1961
10,BayerischerPlatz,52.488611,13.34,1910
11,BerlinerStrasse,52.4875,13.331111,1971
12,BernauerStrasse,52.5375,13.396667,1930
13,Biesdorf-Sued,52.499722,13.546389,1988
14,Birkenstrasse,52.532222,13.341389,1961
15,Bismarckstrasse,52.511389,13.304722,1978
16,Blaschkoallee,52.4525,13.449167,1963
17,Blissestrasse,52.486389,13.321667,1971
18,Boddinstrasse,52.480278,13.425278,1927
19,Borsigwerke,52.581667,13.290556,1958
20,Breitenbachplatz,52.466944,13.308611,1913
21,BrandenburgerTor,52.516389,13.380833,2009
22,Britz-Sued,52.437778,13.448333,1963
23,Buelowstrasse,52.494167,13.3675,1902
24,Bundestag,52.520014,13.373006,2009
25,Bundesplatz,52.4775,13.328611,1971
26,CottbusserPlatz,52.533889,13.596389,1989
27,Dahlem-Dorf,52.4575,13.289722,1913
28,DeutscheOper,52.511944,13.310556,1906
29,EberswalderStrasse,52.541944,13.412222,1913
30,EisenacherStrasse,52.489444,13.350278,1971
31,ElsterwerdaerPlatz,52.505556,13.560556,1988
32,Ernst-Reuter-Platz,52.512778,13.321667,1902
33,FehrbellinerPlatz,52.490556,13.314444,1913
34,FrankfurterAllee,52.514167,13.474722,1930
35,FrankfurterTor,52.515833,13.454167,1930
36,Franz-Neumann-Platz,52.564722,13.363889,1987
37,FranzoesischeStrasse,52.514722,13.389167,1923
38,Friedrichsfelde,52.506111,13.512778,1930
39,Friedrichstrasse,52.520278,13.386944,1923
40,Friedrich-Wilhelm-Platz,52.471944,13.328611,1971
41,Gesundbrunnen,52.548611,13.389444,1930
42,Gleisdreieck,52.498333,13.375278,1912
43,Gneisenaustrasse,52.491389,13.396111,1924
44,GoerlitzerBahnhof,52.499,13.428,1902
45,Grenzallee,52.463,13.445,1930
46,Guentzelstrasse,52.491944,13.330833,1971
47,Halemweg,52.536667,13.286389,1980
48,HalleschesTor,52.497778,13.391111,1902
49,Hansaplatz,52.517778,13.342222,1961
50,Haselhorst,52.538889,13.232778,1984
51,Hauptbahnhof,52.52493,13.369181,2009
52,Hausvogteiplatz,52.513056,13.396667,1908
53,HeidelbergerPlatz,52.480278,13.3125,1913
54,Heinrich-Heine-Strasse,52.510278,13.415833,1928
55,Hellersdorf,52.536667,13.606389,1989
56,Hermannplatz,52.487222,13.424722,1926
57,Hermannstrasse,52.468,13.431,1996
