nodeID_from,nodeID_to,year,line,weight
2,5,1911,line1,1
5,9,1911,line1,1
9,11,1911,line1,1
11,12,1931,line1,1
12,13,1950,line1,1
5,8,1957,line1,1
8,9,1957,line1,1
81,2,1975,line1,1
34,35,1980,line2,1
35,18,1980,line2,1
18,20,1980,line2,1
20,21,1980,line2,1
21,22,1980,line2,1
22,23,1980,line2,1
23,24,1980,line2,1
24,25,1980,line2,1
25,26,1980,line2,1
2,19,1983,line1,1
19,5,1983,line1,1
19,18,1983,line2,1
19,20,1983,line2,1
34,33,1983,line3,1
35,36,1983,line2,1
36,18,1983,line2,1
36,37,1983,line3,1
47,48,1983,line11,1
48,32,1983,line3,1
32,33,1983,line3,1
37,38,1983,line3,1
38,39,1983,line3,1
39,85,1983,line3,1
85,63,1983,line3,1
63,42,1983,line3,1
42,43,1983,line3,1
43,44,1983,line3,1
44,45,1983,line3,1
19,101,1984,line1,1
101,5,1984,line1,1
5,7,1984,line1,1
7,8,1984,line1,1
5,6,1986,line1,1
6,7,1986,line1,1
48,49,1986,line11,1
49,50,1986,line11,1
50,51,1986,line11,1
51,52,1986,line11,1
52,73,1986,line11,1
73,74,1986,line11,1
74,55,1986,line11,1
55,56,1986,line11,1
56,57,1986,line11,1
57,58,1986,line11,1
58,59,1986,line11,1
47,46,1987,line11,1
9,10,1990,line1,1
10,11,1990,line1,1
26,27,1990,line2,1
63,70,1999,line5,1
63,65,1999,line5,1
60,70,1999,line5,1
70,71,1999,line5,1
70,69,1999,line6,1
65,71,1999,line5,1
71,72,1999,line5,1
27,75,2003,line2,1
75,76,2003,line2,1
75,74,2003,line7,1
76,77,2003,line7,1
77,78,2003,line7,1
78,79,2003,line7,1
81,84,2004,line8,1
85,84,2004,line8,1
85,86,2004,line8,1
63,84,2004,line5,1
84,65,2004,line5,1
86,87,2004,line8,1
87,88,2004,line8,1
88,89,2004,line8,1
89,90,2004,line8,1
90,91,2004,line8,1
91,92,2004,line8,1
81,82,2005,line8,1
101,100,2005,line9,1
84,82,2005,line8,1
93,94,2005,line9,1
94,95,2005,line9,1
95,96,2005,line9,1
96,97,2005,line9,1
97,98,2005,line9,1
98,99,2005,line9,1
99,100,2005,line9,1
60,102,2006,line5,1
102,70,2006,line5,1
102,103,2006,line10,1
68,69,2006,line6,1
13,14,2008,line1,1
