nodeID_from,nodeID_to,year,line,weight
114,12,1864,circle,1
114,12,1864,hammersmith,1
114,12,1864,metropolitan,1
114,98,1864,circle,1
114,98,1864,hammersmith,1
114,98,1864,metropolitan,1
164,98,1864,circle,1
164,98,1864,hammersmith,1
164,98,1864,metropolitan,1
100,164,1864,circle,1
100,164,1864,hammersmith,1
100,164,1864,metropolitan,1
122,168,1865,unknown,1
215,91,1865,bakerloo,1
215,91,1865,circle,1
215,91,1865,hammersmith,1
168,215,1865,unknown,1
12,91,1865,circle,1
12,91,1865,hammersmith,1
100,15,1866,circle,1
100,15,1866,hammersmith,1
100,15,1866,metropolitan,1
15,193,1866,circle,1
15,193,1866,hammersmith,1
15,193,1866,metropolitan,1
168,319,1867,hammersmith,1
215,319,1867,unknown,1
122,172,1869,unknown,1
108,137,1869,circle,1
108,156,1869,unknown,1
108,257,1869,circle,1
108,257,1869,district,1
108,257,1869,piccadilly,1
267,321,1869,circle,1
267,321,1869,district,1
251,257,1869,circle,1
251,257,1869,district,1
251,298,1869,circle,1
251,298,1869,district,1
267,298,1869,circle,1
267,298,1869,district,1
168,172,1869,hammersmith,1
108,310,1870,unknown,1
321,95,1871,circle,1
321,95,1871,district,1
26,279,1871,circle,1
26,279,1871,district,1
279,95,1871,circle,1
279,95,1871,district,1
108,83,1872,district,1
108,83,1872,piccadilly,1
240,319,1872,hammersmith,1
215,240,1872,hammersmith,1
310,83,1872,district,1
186,26,1872,circle,1
186,26,1872,district,1
137,83,1872,district,1
156,83,1872,district,1
316,83,1875,district,1
180,193,1876,circle,1
180,193,1876,hammersmith,1
180,193,1876,metropolitan,1
180,3,1877,circle,1
180,3,1877,metropolitan,1
118,289,1878,district,1
232,289,1878,unknown,1
160,236,1878,district,1
118,160,1878,district,1
232,316,1878,unknown,1
289,58,1880,district,1
2,58,1880,district,1
2,82,1880,district,1
2,82,1880,piccadilly,1
102,12,1880,metropolitan,1
81,82,1880,district,1
105,217,1881,district,1
217,228,1881,district,1
105,310,1881,district,1
102,128,1881,unknown,1
186,287,1883,unknown,1
180,4,1885,hammersmith,1
287,3,1885,circle,1
19,215,1885,circle,1
323,4,1885,district,1
323,4,1885,hammersmith,1
19,209,1885,circle,1
287,4,1885,district,1
191,49,1885,circle,1
191,49,1885,district,1
191,287,1885,circle,1
191,287,1885,district,1
137,209,1885,circle,1
186,49,1885,circle,1
186,49,1885,district,1
128,221,1886,unknown,1
207,221,1888,unknown,1
207,237,1888,unknown,1
264,88,1890,district,1
264,327,1890,district,1
326,327,1890,district,1
228,88,1890,district,1
52,56,1890,metropolitan,1
52,59,1890,metropolitan,1
237,59,1890,metropolitan,1
153,92,1891,northern,1
153,95,1891,unknown,1
153,213,1891,northern,1
213,273,1891,northern,1
30,92,1891,northern,1
164,193,1891,unknown,1
193,30,1891,unknown,1
52,7,1893,metropolitan,1
102,308,1895,metropolitan,1
128,308,1895,unknown,1
14,30,1899,unknown,1
14,193,1899,northern,1
122,248,1901,unknown,1
14,181,1901,northern,1
181,30,1901,northern,1
60,62,1901,northern,1
273,62,1901,northern,1
170,231,1901,central,1
209,231,1901,central,1
14,180,1901,central,1
142,209,1901,central,1
142,248,1901,central,1
170,187,1901,central,1
14,269,1901,central,1
187,29,1901,central,1
214,29,1901,central,1
248,81,1901,unknown,1
283,95,1901,unknown,1
269,54,1901,central,1
172,248,1901,unknown,1
214,283,1901,central,1
283,54,1901,unknown,1
211,8,1902,northern,1
193,211,1902,northern,1
164,8,1902,northern,1
189,34,1903,district,1
189,34,1903,hammersmith,1
180,189,1903,unknown,1
189,272,1903,district,1
189,272,1903,hammersmith,1
272,323,1903,district,1
272,323,1903,hammersmith,1
312,37,1903,district,1
312,37,1903,hammersmith,1
222,312,1903,district,1
222,312,1903,hammersmith,1
16,86,1903,district,1
16,86,1903,hammersmith,1
295,86,1903,district,1
295,86,1903,hammersmith,1
34,37,1903,district,1
34,37,1903,hammersmith,1
16,74,1903,unknown,1
145,74,1903,unknown,1
222,295,1903,district,1
222,295,1903,hammersmith,1
145,291,1903,unknown,1
128,242,1905,unknown,1
242,296,1905,unknown,1
150,242,1906,metropolitan,1
150,242,1906,piccadilly,1
150,296,1906,unknown,1
18,232,1906,district,1
18,316,1906,district,1
2,289,1907,piccadilly,1
122,289,1907,piccadilly,1
153,305,1907,northern,1
216,6,1907,piccadilly,1
277,6,1907,piccadilly,1
14,305,1907,waterloo,1
305,95,1907,bakerloo,1
305,95,1907,northern,1
169,305,1907,bakerloo,1
18,83,1907,piccadilly,1
143,42,1907,piccadilly,1
164,42,1907,piccadilly,1
164,245,1907,piccadilly,1
115,149,1907,piccadilly,1
149,167,1907,piccadilly,1
141,54,1907,central,1
173,55,1907,northern,1
141,173,1907,unknown,1
173,219,1907,piccadilly,1
173,283,1907,northern,1
146,148,1907,piccadilly,1
146,212,1907,unknown,1
12,235,1907,bakerloo,1
214,235,1907,bakerloo,1
233,256,1907,piccadilly,1
256,276,1907,piccadilly,1
115,219,1907,piccadilly,1
141,245,1907,piccadilly,1
214,219,1907,bakerloo,1
104,11,1907,piccadilly,1
11,143,1907,piccadilly,1
55,95,1907,bakerloo,1
55,95,1907,northern,1
219,55,1907,bakerloo,1
2,254,1907,piccadilly,1
212,31,1907,piccadilly,1
254,31,1907,unknown,1
169,92,1907,bakerloo,1
200,82,1907,piccadilly,1
200,216,1907,piccadilly,1
276,277,1907,piccadilly,1
122,18,1907,piccadilly,1
233,89,1907,metropolitan,1
233,89,1907,piccadilly,1
242,89,1907,unknown,1
141,283,1907,central,1
167,257,1907,piccadilly,1
128,233,1907,unknown,1
12,188,1908,bakerloo,1
188,91,1908,bakerloo,1
164,97,1908,northern,1
164,97,1908,victoria,1
173,67,1908,piccadilly,1
111,283,1908,northern,1
111,303,1908,northern,1
157,45,1908,northern,1
157,288,1908,northern,1
288,9,1908,northern,1
195,45,1908,northern,1
195,97,1908,northern,1
45,97,1908,northern,1
303,97,1908,northern,1
303,97,1908,victoria,1
23,53,1908,northern,1
45,53,1908,northern,1
141,67,1908,piccadilly,1
109,123,1908,northern,1
123,23,1908,northern,1
128,225,1909,unknown,1
225,308,1909,metropolitan,1
204,31,1909,piccadilly,1
204,254,1909,piccadilly,1
147,212,1910,piccadilly,1
146,147,1910,piccadilly,1
192,207,1911,metropolitan,1
192,237,1911,metropolitan,1
270,289,1913,district,1
232,270,1913,district,1
244,89,1913,metropolitan,1
244,89,1913,piccadilly,1
242,244,1913,metropolitan,1
242,244,1913,piccadilly,1
128,314,1914,metropolitan,1
233,314,1914,metropolitan,1
110,248,1915,hammersmith,1
110,122,1915,hammersmith,1
163,229,1916,bakerloo,1
229,325,1916,unknown,1
215,304,1916,bakerloo,1
163,184,1916,bakerloo,1
184,304,1916,bakerloo,1
128,202,1916,metropolitan,1
202,221,1916,metropolitan,1
154,229,1917,bakerloo,1
154,325,1917,bakerloo,1
126,325,1918,bakerloo,1
129,159,1918,bakerloo,1
159,203,1918,unknown,1
126,274,1918,bakerloo,1
203,307,1918,bakerloo,1
274,307,1918,bakerloo,1
248,84,1921,unknown,1
81,84,1921,unknown,1
109,35,1924,northern,1
134,35,1924,northern,1
140,150,1924,metropolitan,1
140,150,1924,piccadilly,1
206,225,1924,metropolitan,1
309,81,1924,central,1
128,206,1924,metropolitan,1
199,309,1924,central,1
199,84,1924,central,1
140,296,1924,metropolitan,1
140,296,1924,piccadilly,1
134,65,1925,northern,1
41,65,1925,northern,1
41,90,1925,northern,1
192,70,1926,metropolitan,1
306,70,1926,metropolitan,1
262,66,1927,northern,1
282,66,1927,northern,1
13,281,1927,northern,1
281,282,1927,northern,1
13,63,1927,northern,1
60,63,1927,northern,1
194,262,1927,northern,1
16,293,1933,district,1
22,293,1933,district,1
74,75,1933,district,1
104,185,1933,piccadilly,1
185,290,1933,piccadilly,1
290,328,1933,piccadilly,1
32,328,1933,piccadilly,1
10,32,1933,piccadilly,1
22,75,1933,district,1
210,64,1934,piccadilly,1
159,258,1934,bakerloo,1
203,258,1934,bakerloo,1
207,208,1934,metropolitan,1
10,265,1934,piccadilly,1
210,265,1934,piccadilly,1
208,221,1934,metropolitan,1
145,292,1935,district,1
291,292,1935,district,1
74,93,1936,district,1
145,93,1936,district,1
85,9,1940,unknown,1
101,85,1941,northern,1
136,285,1941,northern,1
285,332,1941,northern,1
311,332,1941,northern,1
101,311,1941,northern,1
139,9,1942,northern,1
139,85,1942,northern,1
101,190,1942,northern,1
189,25,1947,central,1
189,275,1947,central,1
180,25,1947,central,1
175,177,1948,central,1
175,275,1948,central,1
248,322,1948,central,1
107,198,1948,central,1
107,234,1948,central,1
177,252,1948,central,1
252,263,1948,central,1
322,84,1948,central,1
198,330,1948,unknown,1
263,330,1948,central,1
116,218,1948,central,1
125,218,1948,central,1
125,199,1948,central,1
234,301,1948,central,1
177,301,1948,central,1
243,260,1949,central,1
243,317,1949,central,1
17,99,1949,central,1
17,198,1949,central,1
205,260,1949,central,1
183,40,1949,central,1
330,40,1949,central,1
116,205,1949,central,1
121,99,1949,central,1
238,330,1949,central,1
113,57,1949,central,1
238,57,1949,central,1
113,121,1949,central,1
183,77,1950,central,1
280,77,1950,central,1
280,96,1950,central,1
273,298,1969,unknown,1
27,284,1969,victoria,1
246,284,1969,victoria,1
115,298,1969,victoria,1
104,246,1969,victoria,1
104,138,1969,victoria,1
138,164,1969,victoria,1
115,214,1969,victoria,1
214,303,1969,victoria,1
27,299,1969,victoria,1
273,36,1972,victoria,1
273,297,1972,victoria,1
297,298,1972,unknown,1
220,298,1973,victoria,1
220,297,1973,victoria,1
130,148,1976,piccadilly,1
130,131,1978,piccadilly,1
12,268,1980,jubilee,1
268,278,1980,jubilee,1
197,80,1980,jubilee,1
324,80,1980,jubilee,1
12,29,1980,jubilee,1
115,29,1980,jubilee,1
181,305,1980,unknown,1
305,321,1980,jubilee,1
181,312,1980,unknown,1
275,312,1980,jubilee,1
161,324,1980,jubilee,1
230,51,1980,jubilee,1
166,230,1980,jubilee,1
115,321,1980,jubilee,1
102,278,1980,jubilee,1
271,51,1980,jubilee,1
102,313,1980,jubilee,1
161,313,1980,jubilee,1
166,308,1980,jubilee,1
197,308,1980,jubilee,1
130,132,1987,piccadilly,1
131,132,1987,piccadilly,1
181,48,1995,unknown,1
312,48,1995,jubilee,1
266,305,2000,jubilee,1
201,48,2000,jubilee,1
181,24,2000,jubilee,1
181,266,2000,jubilee,1
24,46,2000,jubilee,1
46,47,2000,jubilee,1
201,47,2000,jubilee,1
131,133,2009,piccadilly,1
248,329,2009,hammersmith,1
172,329,2009,hammersmith,1
