nodeID,nodeLabel,latitude,longitude,year
1,ActonCentral,-0.2634,51.5088,1925
2,ActonTown,-0.28,51.502778,1879
3,Aldgate,-0.082,51.516,1876
4,AldgateEast,-0.072222,51.515278,1884
5,AllSaints,-0.013056,51.510833,1987
6,Alperton,-0.299722,51.540833,1903
7,Amersham,-0.6088,51.6747,1892
8,Angel,-0.106111,51.532778,1901
9,Archway,-0.135,51.565556,1907
10,ArnosGrove,-0.133536,51.616322,1932
11,Arsenal,-0.105833,51.558611,1906
12,BakerStreet,-0.1572,51.5226,1863
13,Balham,-0.152,51.4426,1926
14,Bank,-0.088611,51.513333,1898
15,Barbican,-0.0977,51.5202,1865
16,Barking,0.0817,51.5393,1902
17,Barkingside,0.0886,51.58486,1948
18,BaronsCourt,-0.213611,51.490556,1905
19,Bayswater,-0.188,51.512,1868
20,Beckton,0.061389,51.514722,1994
21,BecktonPark,0.055,51.508889,1994
22,Becontree,0.126944,51.540278,1932
23,BelsizePark,-0.164444,51.550278,1907
24,Bermondsey,-0.063889,51.498056,1999
25,BethnalGreen,-0.0595,51.523,1946
26,Blackfriars,-0.103,51.5116,1870
27,BlackhorseRoad,-0.0416,51.5866,1968
28,Blackwall,-0.007222,51.507917,1994
29,BondStreet,-0.15,51.514,1900
30,Borough,-0.093889,51.501111,1890
31,BostonManor,-0.325,51.495833,1883
32,BoundsGreen,-0.124167,51.606944,1932
33,BowChurch,-0.020833,51.5275,1987
34,BowRoad,-0.024722,51.527222,1902
35,BrentCross,-0.213611,51.576667,1923
36,Brixton,-0.1132,51.4629,1971
37,Bromley-by-Bow,-0.011389,51.524722,1902
38,Brondesbury,-0.202,51.5451,1860
39,BrondesburyPark,-0.2103,51.5407,1908
40,BuckhurstHill,0.046944,51.626667,1948
41,BurntOak,-0.263889,51.602778,1924
42,CaledonianRoad,-0.118611,51.548333,1906
43,CaledonianRoadandBarnsbury,-0.1145,51.5432,1870
44,CamdenRoad,-0.1401,51.5444,1870
45,CamdenTown,-0.1425,51.539167,1907
46,CanadaWater,-0.05,51.498333,1999
47,CanaryWharf,-0.020989,51.505164,1999
48,CanningTown,0.008311,51.514003,1994
49,CannonStreet,-0.0912,51.5101,1884
50,Canonbury,-0.0925,51.5482,1858
51,CanonsPark,-0.294722,51.607778,1932
52,ChalfontandLatimer,-0.561,51.6679,1889
53,ChalkFarm,-0.153333,51.544167,1907
54,ChanceryLane,-0.11158,51.51809,1900
55,CharingCross,-0.1231,51.5075,1906
56,Chesham,-0.611389,51.705278,1889
57,Chigwell,0.07421,51.61749,1948
58,ChiswickPark,-0.267778,51.494722,1879
59,Chorleywood,-0.518333,51.654167,1889
60,ClaphamCommon,-0.138611,51.461667,1900
61,ClaphamJunction,-0.1703,51.4644,1863
62,ClaphamNorth,-0.13,51.465,1900
63,ClaphamSouth,-0.1475,51.452778,1926
64,Cockfosters,-0.148889,51.651667,1933
65,Colindale,-0.25,51.595556,1924
66,ColliersWood,-0.178333,51.418333,1926
67,CoventGarden,-0.12425,51.513028,1907
68,CrossHarbour,-0.014492,51.495797,1987
69,CrouchHill,-0.1171,51.572,1868
70,Croxley,-0.441389,51.6475,1925
71,CustomHouse,0.025894,51.509639,1994
72,CuttySark,-0.010911,51.481703,1999
73,Cyprus,0.063889,51.508611,1994
74,DagenhamEast,0.165556,51.544444,1902
75,DagenhamHeathway,0.146944,51.541667,1932
76,DalstonKingsland,-0.0763,51.5482,1983
77,Debden,0.083889,51.645278,1949
78,DeptfordBridge,-0.022542,51.474408,1999
79,DevonsRoad,-0.017361,51.522222,1987
80,DollisHill,-0.238611,51.551944,1909
81,EalingBroadway,-0.3017,51.5147,1879
82,EalingCommon,-0.288056,51.510278,1879
83,Earl'sCourt,-0.194722,51.491389,1871
84,EastActon,-0.2475,51.516944,1920
85,EastFinchley,-0.165,51.587222,1939
86,EastHam,0.051667,51.539444,1902
87,EastIndia,-0.002178,51.509397,1994
88,EastPutney,-0.2113,51.4587,1889
89,Eastcote,-0.396944,51.576667,1906
90,Edgware,-0.275,51.614,1924
91,EdgwareRoad,-0.17,51.520159,1863
92,ElephantandCastle,-0.0986,51.4938,1890
93,ElmPark,0.197778,51.549722,1935
94,ElversonRoad,-0.016369,51.468664,1999
95,Embankment,-0.1223,51.5072,1870
96,Epping,0.11385,51.693611,1949
97,Euston,-0.1345,51.5287,1907
98,EustonSquare,-0.1345,51.5287,1863
99,Fairlop,0.09054,51.59562,1948
100,Farringdon,-0.1053,51.5206,1863
101,FinchleyCentral,-0.193333,51.601111,1940
102,FinchleyRoad,-0.180278,51.547222,1879
103,FinchleyRoad&Frognal,-0.1837,51.5499,1860
104,FinsburyPark,-0.10636,51.5647,1906
105,FulhamBroadway,-0.194656,51.480619,1880
106,GallionsReach,0.071667,51.508889,1994
107,GantsHill,0.066111,51.576667,1947
108,GloucesterRoad,-0.183056,51.494722,1868
109,GoldersGreen,-0.194,51.572,1907
110,GoldhawkRoad,-0.227,51.502,1914
111,GoodgeStreet,-0.134444,51.520833,1907
112,GospelOak,-0.1514,51.5552,1860
113,GrangeHill,0.092222,51.613333,1948
114,GreatPortlandStreet,-0.143889,51.523889,1863
115,GreenPark,-0.142865,51.506793,1906
116,Greenford,-0.3463,51.5426,1947
117,Greenwich,-0.0134,51.4782,1999
118,Gunnersbury,-0.275,51.4918,1877
119,HackneyCentral,-0.0559,51.547,1850
120,HackneyWick,-0.0249,51.5432,1980
121,Hainault,0.093333,51.603333,1948
122,Hammersmith,-0.224444,51.492778,1864
123,Hampstead,-0.178333,51.556944,1907
124,HampsteadHeath,-0.1654,51.5553,1860
125,HangerLane,-0.293056,51.530278,1947
126,Harlesden,-0.2581,51.5363,1917
127,HarringayGreenLanes,-0.0977,51.5774,1880
128,HarrowOnTheHill,-0.337,51.5794,1880
129,HarrowandWealdstone,-0.3347,51.5921,1917
130,HattonCross,-0.423333,51.466944,1975
131,HeathrowTerminal123,-0.4525,51.471111,1977
132,HeathrowTerminal4,-0.446944,51.459444,1986
133,HeathrowTerminal5,-0.475,51.472222,2008
134,HendonCentral,-0.226111,51.583056,1923
135,HeronQuays,-0.021569,51.502922,1987
136,HighBarnet,-0.194167,51.650556,1940
137,HighStreetKensington,-0.1925,51.500833,1868
138,HighburyandIslington,-0.105,51.5458,1968
139,Highgate,-0.145833,51.577778,1941
140,Hillingdon,-0.45,51.553889,1923
141,Holborn,-0.120111,51.517431,1906
142,HollandPark,-0.2056,51.5072,1900
143,HollowayRoad,-0.111944,51.553056,1906
144,Homerton,-0.0431,51.547,1985
145,Hornchurch,0.218889,51.553889,1902
146,HounslowCentral,-0.366389,51.471389,1886
147,HounslowEast,-0.356389,51.473056,1909
148,HounslowWest,-0.385556,51.473611,1884
149,HydeParkCorner,-0.152778,51.502778,1906
150,Ickenham,-0.441944,51.561944,1905
151,ImperialWharf,-0.18281,51.47517,2009
152,IslandGardens,-0.0105,51.488028,1987
153,Kennington,-0.105556,51.488611,1890
154,KensalGreen,-0.2243,51.5306,1916
155,KensalRise,-0.2204,51.5345,1861
156,KensingtonOlympia,-0.211,51.4985,1864
157,KentishTown,-0.1396,51.5505,1907
158,KentishTownWest,-0.1468,51.5468,1867
159,Kenton,-0.3167,51.5818,1917
160,KewGardens,-0.2849,51.4772,1877
161,Kilburn,-0.204722,51.547222,1879
162,KilburnHighRoad,-0.1925,51.5373,1852
163,KilburnPark,-0.194063,51.535124,1915
164,King'sCrossSt.Pancras,-0.1233,51.5324,1863
165,KingGeorgeV,0.062778,51.501972,2005
166,Kingsbury,-0.278611,51.584722,1932
167,Knightsbridge,-0.160833,51.501667,1906
168,LadbrokeGrove,-0.210556,51.517222,1864
169,LambethNorth,-0.1118,51.499,1906
170,LancasterGate,-0.175472,51.51175,1900
171,LangdonPark,-0.014167,51.515556,2007
172,LatimerRoad,-0.217222,51.513889,1868
173,LeicesterSquare,-0.128056,51.511389,1906
174,Lewisham,-0.0141,51.4658,1999
175,Leyton,-0.0072,51.5693,1947
176,LeytonMidlandRoad,-0.0072,51.5693,1894
177,LeytonStone,0.008333,51.568333,1947
178,LeytonstoneHighRoad,0.0073,51.5634,1894
179,Limehouse,-0.0402,51.5126,1987
180,LiverpoolStreet,-0.0819,51.5185,1875
181,LondonBridge,-0.0851,51.5053,1900
182,LondonCityAirport,0.048889,51.503611,2005
183,Loughton,0.055278,51.641389,1948
184,MaidaVale,-0.185565,51.529785,1915
185,ManorHouse,-0.096111,51.570833,1932
186,MansionHouse,-0.094167,51.512222,1871
187,MarbleArch,-0.158333,51.513611,1900
