nodeID_from,nodeID_to,year,line,weight
88,236,1920,line1,1
236,106,1920,line1,1
106,55,1920,line1,1
11,88,1920,line1,1
10,11,1920,line1,1
10,147,1920,line1,1
55,16,1922,line1,1
16,17,1922,line1,1
17,18,1922,line1,1
19,20,1924,line1,1
20,138,1924,line1,1
138,22,1924,line1,1
18,19,1924,line1,1
55,44,1925,unknown,1
44,200,1925,line2,1
100,49,1925,line2,1
49,123,1925,unknown,1
200,83,1925,line2,1
83,142,1925,line2,1
142,100,1925,line2,1
149,42,1926,unknown,1
39,281,1926,line2,1
281,42,1926,unknown,1
55,42,1926,line2,1
89,38,1926,line2,1
38,39,1926,line2,1
36,147,1930,unknown,1
36,89,1930,line2,1
6,7,1930,line1,1
7,8,1930,line1,1
8,147,1930,line1,1
86,104,1933,line4,1
100,104,1933,unknown,1
59,135,1937,line3,1
55,59,1937,unknown,1
107,56,1942,unknown,1
56,111,1942,line3,1
237,107,1942,line3,1
55,111,1942,unknown,1
93,94,1945,line5,1
94,95,1945,line5,1
100,92,1945,unknown,1
92,93,1945,line5,1
38,237,1945,unknown,1
88,38,1945,unknown,1
88,95,1945,unknown,1
135,61,1950,line3,1
61,62,1950,line3,1
62,63,1952,line3,1
5,6,1962,line1,1
230,5,1962,line1,1
23,24,1963,line1,1
22,23,1963,line1,1
52,237,1964,line3,1
112,113,1965,line5,1
113,114,1965,line5,1
110,112,1965,unknown,1
123,114,1965,unknown,1
132,247,1969,line6,1
247,134,1969,line6,1
129,135,1969,unknown,1
129,130,1969,line6,1
134,136,1969,unknown,1
127,135,1969,unknown,1
130,132,1969,unknown,1
42,111,1969,unknown,1
126,42,1969,unknown,1
123,111,1969,unknown,1
126,127,1969,line6,1
106,111,1971,unknown,1
120,106,1971,unknown,1
117,86,1971,unknown,1
117,118,1971,line5,1
118,95,1971,unknown,1
123,86,1971,unknown,1
120,95,1971,unknown,1
82,84,1974,unknown,1
85,86,1974,line4,1
84,85,1974,line4,1
201,203,1975,unknown,1
203,204,1975,line9,1
205,206,1975,line9,1
204,205,1975,line9,1
199,201,1975,unknown,1
194,85,1976,unknown,1
194,196,1976,unknown,1
196,197,1976,line9,1
197,199,1976,unknown,1
138,147,1980,unknown,1
173,147,1980,unknown,1
166,138,1980,unknown,1
49,86,1980,unknown,1
168,49,1980,unknown,1
166,167,1980,line7,1
167,168,1980,line7,1
172,173,1980,line7,1
198,143,1980,line4,1
198,143,1980,line6,1
143,82,1980,line4,1
172,85,1980,unknown,1
79,198,1980,line4,1
103,105,1981,unknown,1
253,248,1981,unknown,1
248,249,1981,line11,1
245,253,1981,line10,1
105,109,1981,unknown,1
109,110,1981,line5,1
167,245,1981,unknown,1
156,157,1982,line7,1
157,159,1982,unknown,1
247,147,1982,unknown,1
164,138,1982,unknown,1
247,156,1982,unknown,1
234,63,1982,unknown,1
234,164,1982,unknown,1
159,63,1982,unknown,1
221,228,1984,unknown,1
227,228,1984,line10,1
153,147,1984,unknown,1
223,224,1984,line10,1
221,232,1984,unknown,1
232,235,1984,unknown,1
247,154,1984,unknown,1
225,230,1984,unknown,1
224,225,1984,line10,1
167,85,1984,unknown,1
235,85,1984,unknown,1
227,230,1984,unknown,1
153,154,1984,line7,1
236,56,1986,unknown,1
149,56,1986,unknown,1
285,286,1986,lineml1,1
229,230,1986,line1,1
229,230,1986,line10,1
272,229,1986,unknown,1
149,285,1986,unknown,1
275,230,1986,unknown,1
275,276,1986,line12,1
236,276,1986,unknown,1
271,272,1986,line12,1
240,142,1987,unknown,1
243,142,1987,unknown,1
167,243,1987,unknown,1
240,85,1987,unknown,1
175,147,1988,unknown,1
175,176,1988,line7,1
176,177,1988,line7,1
153,177,1988,unknown,1
26,27,1995,line1,1
24,25,1995,line1,1
25,26,1995,line1,1
177,52,1996,unknown,1
149,237,1996,unknown,1
149,150,1996,line6,1
150,151,1996,unknown,1
152,153,1996,line7,1
151,152,1996,line7,1
157,294,1999,unknown,1
250,251,1999,line11,1
251,252,1999,line11,1
191,85,1999,unknown,1
173,191,1999,unknown,1
190,191,1999,line9,1
191,279,1999,unknown,1
249,250,1999,line11,1
183,184,1999,line8,1
236,279,1999,unknown,1
77,78,1999,line4,1
78,79,1999,line4,1
190,36,1999,unknown,1
175,184,1999,unknown,1
75,76,1999,line4,1
76,77,1999,line4,1
173,276,1999,unknown,1
218,77,1999,unknown,1
