nodeID,nodeLabel,latitude,longitude,year
1,PinardeChamartin,40.48031864,-3.666988972,2007
2,Bambú,40.47683372,-3.676211872,2007
3,Chamartin,40.47365433,-3.679510455,2007
4,PlazadeCastilla,40.46543747,-3.688648668,1961
5,Valdeacederas,40.46412546,-3.695790632,1961
6,Tetuán,40.46105695,-3.698025654,1929
7,Estrecho,40.45515295,-3.702502858,1929
8,Alvarado,40.4501959,-3.703543025,1929
9,CuatroCaminos,40.44735363,-3.703895214,1919
10,RíosRosas,40.44095663,-3.701003106,1919
11,Iglesia,40.43501324,-3.698096082,1919
12,Bilbao,40.42917336,-3.70196753,1919
13,Tribunal,40.42621678,-3.701084281,1919
14,GranVía,40.42008161,-3.701871587,1919
15,Sol,40.41721047,-3.70323932,1919
16,TirsodeMolina,40.41254503,-3.70377404,1921
17,AntónMartin,40.4121684,-3.698785301,1921
18,Atocha,40.40922518,-3.692484096,1921
19,AtochaRenfe,40.40730079,-3.692431723,1923
20,MenéndezPelayo,40.40436432,-3.680764268,1923
21,Pacífico,40.40210985,-3.676187372,1923
22,PuentedeVallecas,40.39776295,-3.668081633,1923
23,NuevaNumancia,40.39524229,-3.663535974,1962
24,Portazgo,40.39331263,-3.65980291,1962
25,BuenosAires,40.39162056,-3.653895843,1994
26,AltodelArenal,40.39003825,-3.64534093,1994
27,MiquelHernández,40.3876014,-3.640061799,1994
28,SierradeGuadalupe,40.38226462,-3.624998864,1999
29,VilladeVallecas,40.37980288,-3.62181863,1999
30,Congosto,40.37198587,-3.618767603,1999
31,LaGavia,40.36914589,-3.612354544,2007
32,LasSuertes,40.36335422,-3.599570543,2007
33,Valdecarros,40.36012899,-3.593156348,2007
34,CuatroCaminos,40.44735363,-3.703895214,1929
35,Canal,40.43841563,-3.704177171,1929
36,Quevedo,40.43323661,-3.704404915,1925
37,SanBernardo,40.42986259,-3.706000127,1925
38,PlazadeEspaña/Noviciado,40.424286,-3.709774,1925
39,SantoDomingo,40.4204336,-3.708569838,1925
40,Opera,40.418085,-3.709374192,1925
41,Sol,40.41708056,-3.703203742,1924
42,Sevilla,40.4177308,-3.699442401,1924
43,BancodeEspaña,40.41928365,-3.694197876,1924
44,Retiro,40.42034416,-3.687179026,1924
45,PríncipedeVergara,40.42305741,-3.679672348,1924
46,Goya,40.42497876,-3.675746596,1924
47,ManuelBecerra,40.42808281,-3.66920972,1924
48,Ventas,40.43101602,-3.663219558,1924
49,LaElipa,40.42631253,-3.65097762,2007
50,Moncloa,40.43474804,-3.719325796,1963
51,Argüelles,40.43142055,-3.716850389,1941
52,VenturaRodrígues,40.42690826,-3.713624168,1941
53,PlazadeEspaña,40.424286,-3.709774,1941
54,Callao,40.42005944,-3.705778325,1941
55,Sol,40.41692583,-3.703183554,1936
56,Lavapiés,40.40845453,-3.700717945,1936
57,Acacias/Embajadores,40.404314,-3.704785,1936
58,PalosdelaFrontera,40.40297224,-3.694133195,1949
59,Delicias,40.39854227,-3.694347491,1949
60,Legazpi,40.39159455,-3.694972821,1951
61,Almendrales,40.38414032,-3.698128121,2007
62,Hospital12deOctubre,40.3755307,-3.695830811,2007
63,SanFermín-Orcasur,40.36984152,-3.694509606,2007
64,CiudaddelosÁngeles,40.36000001,-3.693686802,2007
65,VillaverdeBajoCruce,40.35056123,-3.69324913,2007
66,SanCristóbal,40.34108489,-3.69244211,2007
67,VillaverdeAlto,40.34203242,-3.712282861,2007
68,PinardeChamartin,40.48031864,-3.666988972,2007
69,Manoteras,40.47674397,-3.662926654,2007
70,Hortaleza,40.47496583,-3.652445536,2007
71,ParquedeSantaMaría,40.47713806,-3.645428018,1998
72,SanLorenzo,40.47440134,-3.639120596,1998
73,MardeCristal,40.4701813,-3.638484175,1998
74,Canillas,40.46509853,-3.635530514,1998
75,Esperanza,40.45942941,-3.645921063,1979
76,ArturoSoria,40.45603162,-3.656167864,1979
77,AvenidadelaPaz,40.45328031,-3.661895979,1979
78,AlfonsoXIII,40.44829223,-3.667882576,1973
79,Prosperidad,40.44409483,-3.674870038,1973
80,AvenidadeAmérica,40.43812249,-3.676442478,1973
81,DiegodeLeón,40.43320872,-3.673028664,1932
82,Lista,40.42985494,-3.675266469,1932
83,Goya,40.42497876,-3.675746596,1932
84,Velázquez,40.42513814,-3.683426344,1944
85,Serrano,40.42533408,-3.687622766,1944
86,Colón,40.42527616,-3.691373114,1944
87,AlonsoMartínez,40.42747798,-3.696040134,1944
88,Bilbao,40.42920782,-3.701976978,1944
89,SanBernardo,40.4298626,-3.706000168,1944
90,Argüelles,40.43142055,-3.716850389,1944
91,AlamedadeOsuna,40.46413423,-3.613085167,2006
92,ElCapricho,40.45334351,-3.594269566,2006
93,Canillejas,40.44923623,-3.608165223,1980
94,TorreArias,40.44364356,-3.617199963,1980
95,Suanzes,40.44083356,-3.627155683,1980
96,CiudadLineal,40.43777327,-3.638208504,1964
97,PuebloNuevo,40.43522638,-3.643809604,1964
98,Quintana,40.43300034,-3.649031649,1964
99,ElCarmen,40.43181833,-3.657385216,1964
100,Ventas,40.43101602,-3.663219558,1964
101,DiegodeLeón,40.43301884,-3.673113866,1970
102,NúñezdeBalboa,40.43275638,-3.683177215,1970
103,RubénDarío,40.43312986,-3.691132805,1970
104,AlonsoMartínez,40.42751738,-3.696101722,1970
105,Chueca,40.42176405,-3.697982248,1970
106,GranVía,40.42008161,-3.701871587,1970
107,Callao,40.42018794,-3.705957198,1968
108,Opera,40.41800834,-3.709306461,1968
109,LaLatina,40.41105615,-3.708242629,1968
110,PuertadeToledo,40.40677089,-3.710972618,1968
111,Acacias/Embajadores,40.404314,-3.704785,1968
112,Pirámides,40.40155965,-3.712682492,1968
113,MarquésdeVadillo,40.39774062,-3.71630751,1968
114,Urgel,40.39335029,-3.723578632,1968
115,Oporto,40.38856431,-3.731590248,1968
116,VistaAlegre,40.3888006,-3.739842265,1968
117,Carabanchel,40.3878287,-3.744635676,1968
118,EugeniadeMontijo,40.38471729,-3.750852619,1999
119,Aluche,40.38568786,-3.760428783,2002
120,Empalme,40.39094354,-3.765837565,2002
121,Campamento,40.39463957,-3.768383099,2002
122,CasadeCampo,40.40317427,-3.760786043,2002
123,Moncloa,40.43474804,-3.719325796,1995
124,Argüelles,40.43142055,-3.716850389,1995
125,PríncipePío,40.42061242,-3.720180707,1995
126,PuertadelÁngel,40.41337715,-3.727310096,1995
127,AltodeExtremadura,40.40964511,-3.739105688,1995
128,Lucero,40.4048877,-3.745653838,1995
129,Laguna,40.3990311,-3.744218191,1983
130,Carpetana,40.3927393,-3.741225406,1983
131,Oporto,40.38856431,-3.731590248,1981
132,Opañel,40.38547289,-3.723586169,1981
133,PlazaElíptica,40.38570458,-3.71767924,1981
134,Usera,40.38700509,-3.706827078,1981
135,Legazpi,40.39159455,-3.694972821,1981
136,Arganzuela-Planetario,40.39318172,-3.688846151,1981
137,MéndezÁlvaro,40.3963241,-3.681054015,1981
138,Pacífico,40.40208353,-3.676268753,1979
139,CondedeCasal,40.40863463,-3.670143911,1979
140,SáinzdeBaranda,40.41557218,-3.669607816,1979
141,O'Donnell,40.42148407,-3.669132928,1979
142,ManuelBecerra,40.42808281,-3.66920972,1979
143,DiegodeLeón,40.43314444,-3.673472781,1979
144,AvenidadeAmérica,40.43812249,-3.676442478,1979
145,RepúblicaArgentina,40.44494396,-3.68502778,1979
146,NuevosMinisterios,40.44621166,-3.691585633,1979
147,CuatroCaminos,40.44735363,-3.703895214,1979
148,GusmánelBueno,40.44704581,-3.710041519,1987
149,Metropolitano,40.44673688,-3.718068135,1987
150,CiudadUniversitaria,40.44353456,-3.727054868,1987
151,Pitis,40.495159,-3.72635,1999
152,Lacoma,40.48504401,-3.722620672,1999
153,AvenidadelaIlustración,40.48004987,-3.718222129,1999
154,Peñagrande,40.47612552,-3.715976305,1999
155,AntonioMachado,40.46989823,-3.718168433,1999
156,Valdezarza,40.46489013,-3.715312645,1998
157,FrancosRodrígues,40.45714996,-3.711891113,1998
158,GusmánelBueno,40.44709202,-3.710116179,1998
159,IslasFilipinas,40.43913302,-3.713019472,1998
160,Canal,40.43841563,-3.704177171,1998
161,AlonsoCano,40.43837437,-3.698892437,1998
162,GregorioMarañon,40.43824791,-3.69132401,1998
163,AvenidadeAmérica,40.43816607,-3.676423428,1975
164,Cartagena,40.43942142,-3.672123195,1975
165,ParquedelasAvenidas,40.439351,-3.662840628,1975
166,BarriodelaConcepción,40.43846698,-3.651587812,1975
167,PuebleNuevo,40.43522638,-3.643809604,1974
168,Ascao,40.4300873,-3.641148847,1974
169,GarcíaNoblejas,40.42825032,-3.634069397,1974
170,Simancas,40.42783034,-3.625777439,1974
171,SanBlas,40.427925,-3.615585018,1974
172,LasMusas,40.43255441,-3.607925395,1974
173,StadioOlimpico,40.43308751,-3.601660754,2007
174,BarriodelPuerto,40.4226797,-3.569050913,2007
175,CosladaCentral,40.4238162,-3.56198937,2007
176,LaRambla,40.42502211,-3.547755529,2007
177,SanFernando,40.42426701,-3.534746281,2007
178,Jarama,40.42272174,-3.525437149,2007
179,Henares,40.41786008,-3.527045171,2007
180,HospitaldelHenares,40.41744447,-3.535031172,2007
181,AeropuertoT4,40.49015109,-3.593742839,2007
182,Barajas,40.47567602,-3.582465899,1999
183,AeropuertoT1-T2-T3,40.46848876,-3.570370195,1999
184,CampodelasNaciones,40.46399838,-3.6166671,1998
185,MardeCristal,40.4701813,-3.638484175,1998
186,PinardelRey,40.46809264,-3.648255892,2002
187,Colombia,40.45777874,-3.676950477,2002
188,NuevosMinisterios,40.44667136,-3.691555551,2002
189,HerreraOria,40.48511582,-3.708620383,1983
190,BarriodelPilar,40.47789599,-3.703880799,1983
191,Ventilla,40.46948494,-3.695572733,1983
192,PlazadeCastilla,40.46543508,-3.688927572,1983
193,DuquedePastrana,40.46759464,-3.67906714,1983
194,PíoXII,40.46253122,-3.675808906,1983
195,Colombia,40.45777874,-3.676950477,1983
196,ConchaEspina,40.45252811,-3.6775668,1983
197,CruzdelRayo,40.44310815,-3.678268658,1983
198,AvenidadeAmérica,40.43812191,-3.676494177,1983
199,Núñezdebalboa,40.43274667,-3.683211513,1986
200,PríncipedeVergara,40.42305741,-3.679672348,1986
201,Ibiza,40.4183549,-3.677984484,1986
202,SáinzdeBaranda,40.41557218,-3.669607816,1980
203,Estrella,40.41105649,-3.659704428,1980
204,Vinateros,40.41031264,-3.652779122,1980
205,Artilleros,40.40669153,-3.644312385,1980
206,Pavones,40.40058661,-3.635169005,1980
207,Valdebernardo,40.39924727,-3.621859087,1998
208,Vicálvaro,40.40452682,-3.608717771,1998
209,SanCipriano,40.40415776,-3.603552239,1998
210,PuertadeArganda,40.40125643,-3.595950984,1998
211,Rivas-Urbanizaciones,40.36626935,-3.547391563,2008
212,RivasFutura,40.33759042,-3.529389674,2008
213,RivasVaciamadrid,40.32842864,-3.52044638,2008
214,LaPoveda,40.31863862,-3.477592215,2008
215,ArgandadelRey,40.30359236,-3.447367855,2008
216,HospitalInfantaSofia,40.56010038,-3.611670413,2007
217,ReyesCatólicos,40.55043137,-3.623612786,2007
218,Baunatal,40.55437071,-3.635068896,2007
219,ManueldeFalla,40.550429,-3.646892,2007
220,MarquésdelaValdavia,40.54122789,-3.637215671,2007
221,LaMoraleja,40.53203112,-3.635499062,2007
222,LaGranja,40.52763828,-3.658910004,2007
