nodeID_from,nodeID_to,year,line,weight
12,18,1970,line1,1
12,87,1970,line1,1
103,67,1970,line1,1
115,67,1970,line1,1
13,39,1970,line1,1
115,13,1970,line1,1
18,57,1970,line1,1
146,57,1970,line1,1
23,82,1970,line1,1
120,23,1970,line1,1
103,82,1970,line1,1
123,27,1970,line1,1
123,66,1970,line1,1
120,87,1970,line1,1
39,66,1970,line1,1
112,61,1971,line2,1
112,117,1971,line2,1
59,61,1971,line3,1
134,59,1971,line3,1
147,4,1971,line2,1
103,147,1971,line2,1
13,92,1971,line3,1
62,92,1971,line3,1
117,93,1971,line2,1
27,71,1971,line1,1
127,71,1971,line1,1
140,26,1971,line2,1
140,144,1971,line2,1
48,56,1971,line2,1
108,48,1971,line2,1
103,116,1971,line2,1
31,93,1971,line2,1
126,40,1971,line2,1
116,26,1971,line2,1
129,56,1971,line2,1
13,72,1971,line3,1
61,72,1971,line3,1
142,90,1971,line2,1
142,144,1971,line2,1
15,4,1971,line2,1
108,90,1971,line2,1
107,40,1971,line2,1
15,61,1971,line2,1
107,31,1971,line2,1
127,96,1972,line1,1
134,74,1979,line3,1
109,74,1980,line3,1
109,41,1980,line3,1
41,64,1980,line3,1
25,50,1981,line3,1
50,51,1981,line3,1
145,43,1981,line3,1
25,62,1981,line3,1
43,51,1981,line3,1
46,7,1982,line5,1
34,46,1982,line5,1
100,60,1982,line5,1
132,60,1982,line5,1
132,97,1982,line5,1
22,34,1982,line4,1
22,88,1982,line4,1
128,81,1982,line4,1
16,34,1982,line4,1
7,97,1982,line5,1
128,16,1982,line4,1
23,88,1982,line4,1
121,70,1983,line4,1
10,65,1983,line5,1
106,65,1983,line5,1
10,74,1983,line5,1
74,84,1983,line5,1
137,34,1983,line5,1
137,84,1983,line5,1
54,70,1983,line4,1
23,54,1983,line4,1
136,35,1984,line3,1
138,65,1984,line6,1
138,94,1984,line6,1
143,36,1984,line3,1
145,36,1984,line3,1
11,52,1984,line6,1
11,133,1984,line6,1
52,94,1984,line6,1
35,83,1984,line3,1
143,83,1984,line3,1
38,99,1985,line2,1
126,99,1985,line2,1
118,126,1985,line7,1
105,9,1985,line7,1
105,118,1985,line7,1
100,146,1985,line1,1
33,9,1986,line7,1
127,33,1986,line7,1
14,85,1986,line7,1
124,85,1986,line7,1
124,125,1986,line7,1
125,127,1986,line7,1
76,81,1987,line6,1
65,79,1987,line6,1
41,76,1987,line6,1
41,79,1987,line6,1
110,30,1988,line9,1
139,30,1988,line9,1
70,86,1988,line9,1
139,86,1988,line9,1
26,70,1988,line9,1
26,78,1988,line9,1
25,78,1988,line9,1
100,110,1988,line9,1
20,6,1989,line7,1
111,20,1989,line7,1
101,28,1989,line9,1
101,127,1989,line9,1
47,6,1989,line7,1
133,47,1989,line6,1
111,126,1989,line7,1
25,28,1989,line9,1
1,102,1992,lineA,1
1,122,1992,lineA,1
130,21,1992,lineA,1
130,58,1992,lineA,1
122,80,1992,lineA,1
73,80,1992,lineA,1
100,3,1992,lineA,1
102,58,1992,lineA,1
21,3,1992,lineA,1
121,37,1995,line8,1
121,75,1995,line8,1
2,5,1995,line8,1
5,68,1995,line8,1
135,24,1995,line8,1
135,32,1995,line8,1
26,75,1995,line8,1
26,95,1995,line8,1
44,95,1995,line8,1
115,44,1995,line8,1
15,55,1995,line8,1
119,15,1995,line8,1
115,119,1995,line8,1
37,68,1995,line8,1
2,49,1995,line8,1
49,8,1995,line8,1
69,8,1995,line8,1
24,69,1995,line8,1
114,53,2000,lineB,1
114,97,2000,lineB,1
17,42,2000,lineB,1
141,17,2000,lineB,1
42,97,2000,lineB,1
55,59,2000,lineB,1
55,77,2000,lineB,1
131,77,2000,lineB,1
131,88,2000,lineB,1
120,53,2000,lineB,1
120,88,2000,lineB,1
19,59,2000,lineB,1
45,98,2001,lineB,1
104,98,2001,lineB,1
113,63,2001,lineB,1
113,89,2001,lineB,1
104,29,2001,lineB,1
45,89,2001,lineB,1
63,91,2001,lineB,1
141,91,2001,lineB,1
